                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6082,                 3.7809,                 1.6303,                 0.0017,                0.10714,                0.02754,                0.00775,                 1.5745,                 3.9298,                 1.3305,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 1.3862,                 3.5701,                 1.4569,                0.00439,                0.17471,                0.04576,                0.01833,                  1.573,                 3.8994,                 1.2457,             0.00017429,             0.00017429,             0.00017429
                      3,                 1.3731,                 3.3832,                 1.3334,                0.00438,                0.17471,                0.04521,                0.02879,                 1.5413,                 3.8264,                 1.1747,             0.00025533,             0.00025533,             0.00025533
                      4,                 1.2778,                 2.9398,                 1.2664,                0.00438,                0.17471,                0.08391,                 0.0605,                 1.5668,                 3.6773,                 1.1336,             0.00032647,             0.00032647,             0.00032647
                      5,                 1.2062,                 2.4666,                 1.2027,                 0.0044,                0.17471,                0.10001,                0.06678,                 1.5713,                 3.5886,                 1.0887,             0.00038771,             0.00038771,             0.00038771
                      6,                 1.3011,                 2.1967,                 1.2603,                0.00557,                0.24614,                0.14751,                0.09829,                 1.5511,                  3.425,                 1.0842,             0.00043905,             0.00043905,             0.00043905
                      7,                 1.2498,                  1.961,                 1.1751,                0.01153,                0.46139,                0.18234,                0.12558,                 1.6225,                 3.1621,                 1.1247,             0.00048048,             0.00048048,             0.00048048
                      8,                 1.1306,                  1.751,                 1.1508,                0.01153,                0.46139,                0.18234,                0.12558,                 1.6225,                 3.1621,                 1.1247,             0.00051201,             0.00051201,             0.00051201
                      9,                 1.0275,                 1.6839,                  1.071,                0.90222,                0.12548,                0.30835,                0.18519,                  1.707,                 2.8428,                 1.1447,             0.00053364,             0.00053364,             0.00053364
                     10,                 1.2079,                 2.0274,                 1.1465,                0.93103,                0.20053,                0.40831,                 0.2393,                  1.776,                  2.558,                 1.1847,             0.00054537,             0.00054537,             0.00054537
                     11,                 1.1724,                 2.5333,                 1.0946,                0.93103,                0.20053,                0.40831,                 0.2393,                  1.776,                  2.558,                 1.1847,             0.00054719,             0.00054719,             0.00054719
                     12,                 1.0565,                 2.2862,                 1.0598,                0.79628,                0.24738,                0.44889,                0.24811,                 1.7698,                 2.3981,                 1.1933,             0.00053912,             0.00053912,             0.00053912
                     13,                 1.1864,                 1.9204,                 1.1285,                0.79628,                0.24738,                0.44889,                0.24811,                 1.7698,                 2.3981,                 1.1933,             0.00052114,             0.00052114,             0.00052114
                     14,                 1.1513,                 2.0439,                 1.0903,                0.79628,                0.24738,                0.44889,                0.24811,                 1.7698,                 2.3981,                 1.1933,             0.00049326,             0.00049326,             0.00049326
                     15,                 1.1043,                 2.0295,                 1.0437,                0.83569,                0.30836,                0.42538,                0.23616,                 1.8398,                 2.2619,                 1.2502,             0.00045547,             0.00045547,             0.00045547
                     16,                 1.1451,                 2.0219,                 1.0625,                0.83569,                0.30836,                0.42538,                0.23616,                 1.8398,                 2.2619,                 1.2502,             0.00040779,             0.00040779,             0.00040779
                     17,                 1.0629,                 1.9249,                 1.0194,                0.61487,                0.29151,                0.40866,                0.21685,                 1.8405,                 2.1287,                 1.2596,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0912,                 1.9786,                 1.0537,                0.61487,                0.29151,                0.40866,                0.21685,                 1.8405,                 2.1287,                 1.2596,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.0572,                 1.8802,                 1.0919,                0.61487,                0.29151,                0.40866,                0.21685,                 1.8405,                 2.1287,                 1.2596,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.0632,                 1.9448,                 1.0501,                0.65669,                0.38837,                0.41054,                0.20494,                 1.8506,                  2.031,                 1.2476,              0.0001817,              0.0001817,              0.0001817
